Week,Weighted_Sentiment
2023-05-02/2023-05-08,0.45975628116204714
2023-05-09/2023-05-15,0.29574450232158284
2023-05-16/2023-05-22,0.34661668096207565
2023-05-23/2023-05-29,0.34734089025066295
2023-05-30/2023-06-05,0.19806671654701677
2023-06-06/2023-06-12,0.37494961504290236
2023-06-13/2023-06-19,0.12268192953115599
2023-06-20/2023-06-26,0.13104757658827365
2023-06-27/2023-07-03,0.10665135383005747
2023-07-04/2023-07-10,0.29358925653522844
2023-07-11/2023-07-17,0.1828308227608569
2023-07-18/2023-07-24,0.3625840119984999
2023-07-25/2023-07-31,0.2457035444857213
2023-08-01/2023-08-07,0.4763318600733632
2023-08-08/2023-08-14,-0.1128473807925276
2023-08-15/2023-08-21,0.07681531178968862
2023-08-22/2023-08-28,0.17535293048706257
2023-08-29/2023-09-04,0.15572408671174456
2023-09-05/2023-09-11,0.15235903518853713
2023-09-12/2023-09-18,0.18663979620739687
2023-09-19/2023-09-25,0.38642310938470603
2023-09-26/2023-10-02,0.19391147278715498
2023-10-03/2023-10-09,0.27920856000737354
2023-10-10/2023-10-16,0.14080606569156012
2023-10-17/2023-10-23,0.13541226200937853
2023-10-24/2023-10-30,0.3507057636471869
2023-10-31/2023-11-06,0.3480887507287157
2023-11-07/2023-11-13,0.2927703972984503
2023-11-14/2023-11-20,-0.04972663940700981
2023-11-21/2023-11-27,0.36526420723730624
2023-11-28/2023-12-04,0.3189256121169783
2023-12-05/2023-12-11,0.0711009349956844
2023-12-12/2023-12-18,0.3111398695001513
2023-12-19/2023-12-25,0.032061248729135336
2023-12-26/2024-01-01,-0.05967198675379944
2024-01-02/2024-01-08,0.28094377675532345
2024-01-09/2024-01-15,0.21330261033317668
2024-01-16/2024-01-22,0.3513218834548604
2024-01-23/2024-01-29,0.5079761470858756
2024-01-30/2024-02-05,0.24377439790549646
2024-02-06/2024-02-12,-0.002990703329212593
2024-02-13/2024-02-19,0.04553971314227515
2024-02-20/2024-02-26,0.5079761470858756
2024-02-27/2024-03-04,0.31755460582455486
2024-03-05/2024-03-11,0.08800382755482694
2024-03-12/2024-03-18,0.09037093787135043
2024-03-19/2024-03-25,0.38391173351253677
2024-03-26/2024-04-01,0.23585662961559659
2024-04-02/2024-04-08,0.27561209908807016
2024-04-09/2024-04-15,0.4862772074201528
2024-04-16/2024-04-22,0.14080606569156012
2024-04-23/2024-04-29,0.469228040539942
2024-04-30/2024-05-06,0.25125229017929074
2024-05-07/2024-05-13,0.19391147278715498
2024-05-14/2024-05-20,0.3448172352032699
2024-05-21/2024-05-27,0.298623615535672
2024-05-28/2024-06-03,0.25798203697233874
2024-06-04/2024-06-10,0.2011514807049695
2024-06-11/2024-06-17,0.469228040539942
2024-06-18/2024-06-24,0.21330261033317668
