COMPANY ID, MAIN TYPE ,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30,MAIN TYPE,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
SING,,0,STANDARD CAPITAL,2021-02-22,73.0,22,2,2021,39.559014267185475,-5.791660836599377,-6.1210024560410385,0.32934161944166185,79.325,97.3565367007217,61.293463299278294,-3.0,8.292857142857144,8.292857142857144,73.0,73.0,73.8,73.4,81.3,70.0,87.9,71.6,72.0,70.1,70.0,69.5,85.6,89.1,89.9,92.3,94.6,90.0,86.4,86.4,91.3,84.5,85.0,88.7,96.2,99.3,94.2,102.4,105.8,106.8,76.05714285714286,75.73571428571428,85.13666666666668,N,,,,
SING,,0,STANDARD CAPITAL,2021-02-23,73.0,23,2,2021,41.440217391304344,-5.594323728842227,-6.015666710601277,0.42134298175905016,78.655,96.57511219419766,60.73488780580234,2.0,8.62857142857143,8.62857142857143,73.0,73.0,73.0,73.8,73.4,81.3,70.0,87.9,71.6,72.0,70.1,70.0,69.5,85.6,89.1,89.9,92.3,94.6,90.0,86.4,86.4,91.3,84.5,85.0,88.7,96.2,99.3,94.2,102.4,105.8,73.92857142857143,74.58571428571429,84.01,N,,,,
SING,,0,STANDARD CAPITAL,2021-02-24,73.0,24,2,2021,53.04347826086957,-5.375961906766477,-5.887725749834317,0.5117638430678397,77.80499999999999,95.05968357470394,60.550316425296046,2.0,7.97857142857143,7.97857142857143,73.0,73.0,73.0,73.0,73.8,73.4,81.3,70.0,87.9,71.6,72.0,70.1,70.0,69.5,85.6,89.1,89.9,92.3,94.6,90.0,86.4,86.4,91.3,84.5,85.0,88.7,96.2,99.3,94.2,102.4,74.35714285714286,73.68571428571428,82.91666666666666,N,,,,
SING,,0,STANDARD CAPITAL,2021-02-25,73.0,25,2,2021,52.631578947368425,-5.1436161839804555,-5.738903836663545,0.5952876526830897,76.725,92.16164471314929,61.288355286850695,-2.0,7.9857142857142875,7.9857142857142875,73.0,73.0,73.0,73.0,73.0,73.8,73.4,81.3,70.0,87.9,71.6,72.0,70.1,70.0,69.5,85.6,89.1,89.9,92.3,94.6,90.0,86.4,86.4,91.3,84.5,85.0,88.7,96.2,99.3,94.2,73.17142857142858,73.93571428571428,81.93666666666665,N,,,,
SING,,0,STANDARD CAPITAL,2021-03-01,71.4,1,3,2021,51.11111111111112,-5.030597555769404,-5.597242580484718,0.5666450247153136,75.67999999999999,89.41288025142578,61.94711974857421,5.0,8.035714285714286,8.035714285714286,73.0,73.0,73.0,73.0,73.0,73.0,73.8,73.4,81.3,70.0,87.9,71.6,72.0,70.1,70.0,69.5,85.6,89.1,89.9,92.3,94.6,90.0,86.4,86.4,91.3,84.5,85.0,88.7,96.2,99.3,73.11428571428571,74.14999999999999,81.22999999999999,N,,,,
SING,,0,STANDARD CAPITAL,2021-03-02,71.4,2,3,2021,49.46996466431096,-4.8847214504100975,-5.454738354469794,0.5700169040596963,74.75500000000001,86.84944848724103,62.66055151275899,-5.0,7.457142857142857,7.457142857142857,71.4,73.0,73.0,73.0,73.0,73.0,73.0,73.8,73.4,81.3,70.0,87.9,71.6,72.0,70.1,70.0,69.5,85.6,89.1,89.9,92.3,94.6,90.0,86.4,86.4,91.3,84.5,85.0,88.7,96.2,72.77142857142857,74.24285714285715,80.3,N,,,,
SING,,0,STANDARD CAPITAL,2021-03-05,70.0,5,3,2021,48.611111111111114,-4.826445624839025,-5.32907980854364,0.5026341837046155,73.8,83.99184400442464,63.60815599557535,-1.0,7.057142857142858,7.057142857142858,71.4,71.4,73.0,73.0,73.0,73.0,73.0,73.0,73.8,73.4,81.3,70.0,87.9,71.6,72.0,70.1,70.0,69.5,85.6,89.1,89.9,92.3,94.6,90.0,86.4,86.4,91.3,84.5,85.0,88.7,72.54285714285714,74.19999999999997,79.47333333333334,N,,,,
SING,,0,STANDARD CAPITAL,2021-03-08,70.0,8,3,2021,28.32929782082323,-4.725785697399132,-5.2084209863147395,0.48263528891560714,73.02000000000001,81.68246591851732,64.3575340814827,-1.0,6.778571428571429,6.778571428571429,70.0,71.4,71.4,73.0,73.0,73.0,73.0,73.0,73.0,73.8,73.4,81.3,70.0,87.9,71.6,72.0,70.1,70.0,69.5,85.6,89.1,89.9,92.3,94.6,90.0,86.4,86.4,91.3,84.5,85.0,72.11428571428571,74.08571428571427,78.85000000000001,N,,,,
SING,,0,STANDARD CAPITAL,2021-03-09,58.7,9,3,2021,33.71757925072045,-5.494490475645378,-5.265634884180868,-0.2288555914645105,72.47999999999999,83.17453377345544,61.78546622654454,13.0,6.357142857142857,6.357142857142857,70.0,70.0,71.4,71.4,73.0,73.0,73.0,73.0,73.0,73.0,73.8,73.4,81.3,70.0,87.9,71.6,72.0,70.1,70.0,69.5,85.6,89.1,89.9,92.3,94.6,90.0,86.4,86.4,91.3,84.5,71.68571428571428,72.80714285714285,78.35000000000001,N,,,,
SING,,0,STANDARD CAPITAL,2021-03-12,61.8,12,3,2021,13.207547169811278,-5.786843330674259,-5.369876573479546,-0.41696675719471266,72.07000000000001,83.74833802162657,60.39166197837345,-4.0,5.771428571428571,5.771428571428571,58.7,70.0,70.0,71.4,71.4,73.0,73.0,73.0,73.0,73.0,73.0,73.8,73.4,81.3,70.0,87.9,71.6,72.0,70.1,70.0,69.5,85.6,89.1,89.9,92.3,94.6,90.0,86.4,86.4,91.3,69.64285714285714,71.99999999999999,77.49,N,,,,
SING,,0,STANDARD CAPITAL,2021-03-16,61.8,16,3,2021,18.817204301075222,-5.949947780276091,-5.485890814838855,-0.4640569654372353,71.655,84.1868079512222,59.1231920487778,-3.0,5.278571428571428,5.278571428571428,61.8,58.7,70.0,70.0,71.4,71.4,73.0,73.0,73.0,73.0,73.0,73.0,73.8,73.4,81.3,70.0,87.9,71.6,72.0,70.1,70.0,69.5,85.6,89.1,89.9,92.3,94.6,90.0,86.4,86.4,68.04285714285713,70.60714285714285,76.50666666666666,N,,,,
SING,,0,STANDARD CAPITAL,2021-03-17,60.0,17,3,2021,15.499999999999986,-6.153520237596311,-5.619416699390347,-0.5341035382059642,71.055,84.62345800493111,57.486541995068904,4.0,5.371428571428571,5.371428571428571,61.8,61.8,58.7,70.0,70.0,71.4,71.4,73.0,73.0,73.0,73.0,73.0,73.0,73.8,73.4,81.3,70.0,87.9,71.6,72.0,70.1,70.0,69.5,85.6,89.1,89.9,92.3,94.6,90.0,86.4,66.44285714285715,69.77857142857142,75.68666666666667,N,,,,
SING,,0,STANDARD CAPITAL,2021-03-18,60.0,18,3,2021,16.1458333333333,-6.242888741336145,-5.744111107779506,-0.49877763355663873,70.475,84.90944345635593,56.04055654364406,-6.0,5.442857142857142,5.442857142857142,60.0,61.8,61.8,58.7,70.0,70.0,71.4,71.4,73.0,73.0,73.0,73.0,73.0,73.0,73.8,73.4,81.3,70.0,87.9,71.6,72.0,70.1,70.0,69.5,85.6,89.1,89.9,92.3,94.6,90.0,64.81428571428572,68.79285714285714,74.80666666666666,N,,,,
SING,,0,STANDARD CAPITAL,2021-03-19,61.9,19,3,2021,23.696682464454952,-6.090195817014504,-5.813328049626507,-0.2768677673879969,69.175,81.53603811004135,56.813961889958655,6.0,5.621428571428571,5.621428571428571,60.0,60.0,61.8,61.8,58.7,70.0,70.0,71.4,71.4,73.0,73.0,73.0,73.0,73.0,73.0,73.8,73.4,81.3,70.0,87.9,71.6,72.0,70.1,70.0,69.5,85.6,89.1,89.9,92.3,94.6,63.18571428571429,67.86428571428571,73.80666666666666,N,,,,
SING,,0,STANDARD CAPITAL,2021-03-22,60.1,22,3,2021,21.834061135371172,-6.044750411155505,-5.8596125219323065,-0.1851378892231983,68.68,81.67839666226084,55.68160333773918,-3.0,5.757142857142857,5.757142857142857,61.9,60.0,60.0,61.8,61.8,58.7,70.0,70.0,71.4,71.4,73.0,73.0,73.0,73.0,73.0,73.0,73.8,73.4,81.3,70.0,87.9,71.6,72.0,70.1,70.0,69.5,85.6,89.1,89.9,92.3,62.028571428571425,67.07142857142857,72.71666666666667,N,,,,
SING,,0,STANDARD CAPITAL,2021-03-23,60.0,23,3,2021,21.739130434782595,-5.94823619960038,-5.877337257465921,-0.07089894213445902,67.615,79.71933154309905,55.510668456900945,-2.0,5.142857142857143,5.142857142857143,60.1,61.9,60.0,60.0,61.8,61.8,58.7,70.0,70.0,71.4,71.4,73.0,73.0,73.0,73.0,73.0,73.0,73.8,73.4,81.3,70.0,87.9,71.6,72.0,70.1,70.0,69.5,85.6,89.1,89.9,60.614285714285714,66.14999999999999,71.64333333333333,N,,,,
SING,,0,STANDARD CAPITAL,2021-03-24,60.0,24,3,2021,21.739130434782595,-5.804833484568874,-5.862836502886512,0.058003018317637434,66.94500000000001,79.18376068717312,54.706239312826895,7.0,4.492857142857142,4.492857142857142,60.0,60.1,61.9,60.0,60.0,61.8,61.8,58.7,70.0,70.0,71.4,71.4,73.0,73.0,73.0,73.0,73.0,73.0,73.8,73.4,81.3,70.0,87.9,71.6,72.0,70.1,70.0,69.5,85.6,89.1,60.800000000000004,65.22142857142856,70.64666666666666,N,,,,
