COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30
KPHL,N,0,KAPRUKA,2023-02-15,8.9,,,,,15,2,2023,64.28571428571425,0.09329102652600696,0.09561210567786753,-0.0023210791518605695,8.8,9.075298880644672,8.52470111935533,-2.0,0.21428571428571427,0.21428571428571427,8.9,8.8,8.8,8.8,8.8,8.7,8.9,8.8,8.9,8.6,8.8,8.8,8.7,8.5,8.8,8.8,9.2,8.8,8.7,8.4,8.3,8.4,8.4,8.6,8.4,8.3,8.5,8.5,8.6,8.3,8.814285714285715,8.77142857142857,8.66
KPHL,N,0,KAPRUKA,2023-02-16,8.8,,,,,16,2,2023,46.66666666666669,0.06982475387847842,0.09045463531798972,-0.020629881439511305,8.795,9.081356421265523,8.508643578734477,-6.0,0.22142857142857153,0.22142857142857153,8.9,8.9,8.8,8.8,8.8,8.8,8.7,8.9,8.8,8.9,8.6,8.8,8.8,8.7,8.5,8.8,8.8,9.2,8.8,8.7,8.4,8.3,8.4,8.4,8.6,8.4,8.3,8.5,8.5,8.6,8.814285714285715,8.8,8.680000000000001
KPHL,N,0,KAPRUKA,2023-02-17,9.0,,,,,17,2,2023,42.85714285714284,0.05064377383977714,0.08249246302234721,-0.03184868918257007,8.785,9.084297422923116,8.485702577076884,10.0,0.22142857142857153,0.22142857142857153,8.6,8.9,8.9,8.8,8.8,8.8,8.8,8.7,8.9,8.8,8.9,8.6,8.8,8.8,8.7,8.5,8.8,8.8,9.2,8.8,8.7,8.4,8.3,8.4,8.4,8.6,8.4,8.3,8.5,8.5,8.799999999999999,8.792857142857143,8.68
KPHL,N,0,KAPRUKA,2023-02-20,8.6,,,,,20,2,2023,46.66666666666663,0.04301601142951483,0.07459717270378075,-0.03158116127426591,8.76,8.988496228230987,8.531503771769012,-6.0,0.22857142857142865,0.22857142857142865,8.6,8.6,8.9,8.9,8.8,8.8,8.8,8.8,8.7,8.9,8.8,8.9,8.6,8.8,8.8,8.7,8.5,8.8,8.8,9.2,8.8,8.7,8.4,8.3,8.4,8.4,8.6,8.4,8.3,8.5,8.77142857142857,8.778571428571428,8.683333333333334
KPHL,N,0,KAPRUKA,2023-02-21,8.7,,,,,21,2,2023,50.0,0.02857242536529725,0.06539222323608405,-0.036819797870786805,8.75,8.988415824271703,8.511584175728297,-1.0,0.2142857142857144,0.2142857142857144,8.7,8.6,8.6,8.9,8.9,8.8,8.8,8.8,8.8,8.7,8.9,8.8,8.9,8.6,8.8,8.8,8.7,8.5,8.8,8.8,9.2,8.8,8.7,8.4,8.3,8.4,8.4,8.6,8.4,8.3,8.757142857142856,8.77142857142857,8.690000000000001
KPHL,N,0,KAPRUKA,2023-02-22,8.6,,,,,22,2,2023,36.36363636363635,0.016930613772359493,0.055699901343339145,-0.03876928757097965,8.74,8.986234804500432,8.493765195499568,-1.0,0.2071428571428573,0.2071428571428573,8.6,8.7,8.6,8.6,8.9,8.9,8.8,8.8,8.8,8.8,8.7,8.9,8.8,8.9,8.6,8.8,8.8,8.7,8.5,8.8,8.8,9.2,8.8,8.7,8.4,8.3,8.4,8.4,8.6,8.4,8.728571428571428,8.771428571428572,8.7
KPHL,N,0,KAPRUKA,2023-02-23,8.6,,,,,23,2,2023,39.999999999999964,0.007616594846014735,0.04608324004387427,-0.038466645197859535,8.745000000000001,8.974186203313968,8.515813796686034,-3.0,0.20000000000000018,0.20000000000000018,8.6,8.6,8.7,8.6,8.6,8.9,8.9,8.8,8.8,8.8,8.8,8.7,8.9,8.8,8.9,8.6,8.8,8.8,8.7,8.5,8.8,8.8,9.2,8.8,8.7,8.4,8.3,8.4,8.4,8.6,8.7,8.75,8.706666666666669
KPHL,N,0,KAPRUKA,2023-02-24,8.7,,,,,24,2,2023,39.999999999999964,0.008209695745932777,0.038508531184285974,-0.030298835438353197,8.745,8.974186203313966,8.515813796686032,-1.0,0.20000000000000018,0.20000000000000018,8.6,8.6,8.6,8.7,8.6,8.6,8.9,8.9,8.8,8.8,8.8,8.8,8.7,8.9,8.8,8.9,8.6,8.8,8.8,8.7,8.5,8.8,8.8,9.2,8.8,8.7,8.4,8.3,8.4,8.4,8.657142857142857,8.735714285714286,8.706666666666667
KPHL,N,0,KAPRUKA,2023-02-27,8.7,,,,,27,2,2023,44.444444444444464,0.0006036101746893507,0.03092754698236665,-0.0303239368076773,8.735000000000001,8.971420677695718,8.498579322304284,1.0,0.19285714285714292,0.19285714285714292,8.7,8.6,8.6,8.6,8.7,8.6,8.6,8.9,8.9,8.8,8.8,8.8,8.8,8.7,8.9,8.8,8.9,8.6,8.8,8.8,8.7,8.5,8.8,8.8,9.2,8.8,8.7,8.4,8.3,8.4,8.62857142857143,8.721428571428572,8.716666666666667
KPHL,N,0,KAPRUKA,2023-02-28,8.9,,,,,28,2,2023,54.54545454545453,0.018569171505768978,0.028455871887047117,-0.00988670038127814,8.739999999999998,8.98623480450043,8.493765195499567,0.0,0.1857142857142858,0.1857142857142858,8.6,8.7,8.6,8.6,8.6,8.7,8.6,8.6,8.9,8.9,8.8,8.8,8.8,8.8,8.7,8.9,8.8,8.9,8.6,8.8,8.8,8.7,8.5,8.8,8.8,9.2,8.8,8.7,8.4,8.3,8.628571428571428,8.714285714285714,8.723333333333333
