COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE ,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
TESS,N,0,TESS AGRO,2019-01-29,0.5,29,1,2019,50.0,-0.0014896521277774633,-0.005686561379692971,0.004196909251915508,0.45499999999999996,0.557083557106808,0.35291644289319185,-72.0,0.0857142857142857,0.0857142857142857,0.4,0.5,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.45714285714285713,0.45714285714285724,0.4633333333333333,,,,,
TESS,N,0,TESS AGRO,2019-01-30,0.5,30,1,2019,55.55555555555556,0.0014886492593076395,-0.00425151925189285,0.005740168511200489,0.45499999999999996,0.557083557106808,0.35291644289319185,13.0,0.07857142857142854,0.07857142857142854,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.4714285714285714,0.45714285714285724,0.4633333333333333,,,,,
TESS,X,0,TESS AGRO,2019-01-30,0.4,30,1,2019,50.0,0.00380511160805741,-0.0026401930799027982,0.0064453046879602086,0.4600000000000001,0.560524937990007,0.35947506200999313,-5.0,0.07857142857142856,0.07857142857142856,0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.4714285714285714,0.46428571428571436,0.4633333333333333,,,,,
TESS,X,0,TESS AGRO,2019-01-31,0.5,31,1,2019,50.0,0.005576640666387744,-0.0009968263306446895,0.006573466997032434,0.465,0.5628720969859187,0.36712790301408144,-11.0,0.07142857142857141,0.07142857142857141,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.4857142857142857,0.46428571428571436,0.4633333333333333,,,,,
TESS,N,0,TESS AGRO,2019-01-31,0.5,31,1,2019,57.14285714285714,0.006901039322727676,0.0005827468000297836,0.006318292522697892,0.465,0.5628720969859187,0.36712790301408144,-1.0,0.06428571428571428,0.06428571428571428,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.4857142857142857,0.46428571428571436,0.4666666666666667,,,,,
TESS,N,0,TESS AGRO,2019-02-01,0.5,1,2,2019,57.14285714285714,0.007860029274871672,0.0020382032949981615,0.00582182597987351,0.47000000000000003,0.5640324691963254,0.37596753080367457,3.0,0.05714285714285713,0.05714285714285713,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.4857142857142857,0.47142857142857153,0.4666666666666667,,,,,
TESS,X,0,TESS AGRO,2019-02-01,0.5,1,2,2019,50.0,0.008521801695783704,0.0033349229751552705,0.0051868787206284335,0.47000000000000003,0.5640324691963254,0.37596753080367457,-6.0,0.049999999999999996,0.049999999999999996,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.5,0.4857142857142857,0.47857142857142865,0.4666666666666667,,,,,
TESS,N,0,TESS AGRO,2019-02-05,0.4,5,2,2019,50.0,0.0009659618352927946,0.0028611307471827756,-0.001895168911889981,0.47000000000000003,0.5640324691963254,0.37596753080367457,7.0,0.05714285714285713,0.05714285714285713,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.5,0.47857142857142865,0.4666666666666667,,,,,
TESS,N,0,TESS AGRO,2019-02-06,0.5,6,2,2019,39.99999999999999,-0.00496486383130601,0.0012959318314850186,-0.006260795662791028,0.465,0.5628720969859187,0.36712790301408144,-4.0,0.05714285714285713,0.05714285714285713,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.4857142857142857,0.4785714285714286,0.4666666666666667,,,,,
TESS,X,0,TESS AGRO,2019-02-07,0.5,7,2,2019,60.0,-0.00157773449509363,0.0007211985661692889,-0.0022989330612629187,0.465,0.5628720969859187,0.36712790301408144,-3.0,0.05714285714285713,0.05714285714285713,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.4714285714285714,0.4714285714285715,0.4633333333333333,,,,,
