COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30, MAIN TYPE , MAIN TYPE
IDL,N,0,SERENDIB ENG.GRP,2019-02-18,7.9,18,2,2019,42.50000000000001,0.23215132848040732,0.4672440038019775,-0.2350926753215702,8.88,9.919433043842458,7.840566956157543,-57.0,0.45714285714285724,0.45714285714285724,7.7,8.7,8.8,8.9,9.0,9.2,9.3,9.0,9.4,9.3,9.6,9.6,9.0,8.5,8.7,9.4,8.8,8.5,8.3,8.4,7.4,7.4,6.8,7.0,7.0,6.4,6.3,6.3,6.3,6.4,8.799999999999999,8.999999999999998,8.180000000000001,,
IDL,N,0,SERENDIB ENG.GRP,2019-02-20,7.9,20,2,2019,34.28571428571429,0.1598014310827267,0.4057554892581274,-0.24595405817540067,8.860000000000001,9.960047845849404,7.759952154150598,0.0,0.4142857142857145,0.4142857142857145,7.9,7.7,8.7,8.8,8.9,9.0,9.2,9.3,9.0,9.4,9.3,9.6,9.6,9.0,8.5,8.7,9.4,8.8,8.5,8.3,8.4,7.4,7.4,6.8,7.0,7.0,6.4,6.3,6.3,6.3,8.6,8.957142857142857,8.230000000000002,,
IDL,N,0,SERENDIB ENG.GRP,2019-02-21,7.7,21,2,2019,18.181818181818187,0.06938710769613543,0.33848181294572904,-0.2690947052495936,8.81,10.059673641606611,7.5603263583933895,14.0,0.41428571428571453,0.41428571428571453,7.9,7.9,7.7,8.7,8.8,8.9,9.0,9.2,9.3,9.0,9.4,9.3,9.6,9.6,9.0,8.5,8.7,9.4,8.8,8.5,8.3,8.4,7.4,7.4,6.8,7.0,7.0,6.4,6.3,6.3,8.414285714285715,8.878571428571428,8.283333333333335,,
IDL,N,0,SERENDIB ENG.GRP,2019-02-22,7.2,22,2,2019,15.789473684210549,-0.04212710131268871,0.2623600300940455,-0.3044871314067342,8.72,10.209047735263967,7.230952264736034,7.0,0.41428571428571453,0.41428571428571453,7.5,7.9,7.9,7.7,8.7,8.8,8.9,9.0,9.2,9.3,9.0,9.4,9.3,9.6,9.6,9.0,8.5,8.7,9.4,8.8,8.5,8.3,8.4,7.4,7.4,6.8,7.0,7.0,6.4,6.3,8.2,8.72857142857143,8.323333333333334,,
IDL,N,0,SERENDIB ENG.GRP,2019-02-25,6.6,25,2,2019,17.14285714285714,-0.1290157026579184,0.18408488354365277,-0.31310058620157116,8.6,10.237713425223687,6.962286574776313,-11.0,0.39285714285714307,0.39285714285714307,7.0,7.5,7.9,7.9,7.7,8.7,8.8,8.9,9.0,9.2,9.3,9.0,9.4,9.3,9.6,9.6,9.0,8.5,8.7,9.4,8.8,8.5,8.3,8.4,7.4,7.4,6.8,7.0,7.0,6.4,7.928571428571429,8.542857142857143,8.346666666666668,,
IDL,N,0,SERENDIB ENG.GRP,2019-02-26,7.2,26,2,2019,14.705882352941188,-0.19562055325423344,0.10814379618407552,-0.303764349438309,8.515,10.30064450991497,6.72935549008503,-4.0,0.4142857142857145,0.4142857142857145,7.0,7.0,7.5,7.9,7.9,7.7,8.7,8.8,8.9,9.0,9.2,9.3,9.0,9.4,9.3,9.6,9.6,9.0,8.5,8.7,9.4,8.8,8.5,8.3,8.4,7.4,7.4,6.8,7.0,7.0,7.671428571428572,8.37857142857143,8.366666666666667,,
IDL,N,0,SERENDIB ENG.GRP,2019-02-27,6.9,27,2,2019,24.242424242424264,-0.2216429227726664,0.04218645239272714,-0.2638293751653935,8.455,10.32157581232531,6.588424187674689,1.0,0.4214285714285716,0.4214285714285716,7.0,7.0,7.0,7.5,7.9,7.9,7.7,8.7,8.8,8.9,9.0,9.2,9.3,9.0,9.4,9.3,9.6,9.6,9.0,8.5,8.7,9.4,8.8,8.5,8.3,8.4,7.4,7.4,6.8,7.0,7.428571428571429,8.207142857142857,8.366666666666667,,
IDL,N,0,SERENDIB ENG.GRP,2019-02-28,7.3,28,2,2019,21.875,-0.223550557890837,-0.010960949663985683,-0.2125896082268513,8.379999999999999,10.27470175406107,6.485298245938927,-2.0,0.39285714285714307,0.39285714285714307,7.3,7.0,7.0,7.0,7.5,7.9,7.9,7.7,8.7,8.8,8.9,9.0,9.2,9.3,9.0,9.4,9.3,9.6,9.6,9.0,8.5,8.7,9.4,8.8,8.5,8.3,8.4,7.4,7.4,6.8,7.371428571428571,8.085714285714285,8.376666666666669,,
IDL,N,0,SERENDIB ENG.GRP,2019-03-01,7.1,1,3,2019,22.58064516129032,-0.22249755910432256,-0.05326827155205306,-0.16922928755226951,8.275,10.117052630827045,6.432947369172956,-6.0,0.4071428571428573,0.4071428571428573,7.5,7.3,7.0,7.0,7.0,7.5,7.9,7.9,7.7,8.7,8.8,8.9,9.0,9.2,9.3,9.0,9.4,9.3,9.6,9.6,9.0,8.5,8.7,9.4,8.8,8.5,8.3,8.4,7.4,7.4,7.314285714285714,7.957142857142857,8.400000000000002,,
IDL,N,0,SERENDIB ENG.GRP,2019-03-05,7.1,5,3,2019,20.588235294117652,-0.2590230152219615,-0.09441922028603475,-0.16460379493592672,8.145,9.9601120017639,6.3298879982360985,8.0,0.42142857142857165,0.42142857142857165,7.5,7.5,7.3,7.0,7.0,7.0,7.5,7.9,7.9,7.7,8.7,8.8,8.9,9.0,9.2,9.3,9.0,9.4,9.3,9.6,9.6,9.0,8.5,8.7,9.4,8.8,8.5,8.3,8.4,7.4,7.257142857142857,7.835714285714287,8.403333333333334,,
