COMPANY ID,MAIN TYPE,SUB TYPE,SHORT NAME,TRADING DATE,OPEN PRICE (Rs.),Date,Month,Year,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Volume_Change,ATR,ATR_14,CLOSE PRICE (Lag 1),CLOSE PRICE (Lag 2),CLOSE PRICE (Lag 3),CLOSE PRICE (Lag 4),CLOSE PRICE (Lag 5),CLOSE PRICE (Lag 6),CLOSE PRICE (Lag 7),CLOSE PRICE (Lag 8),CLOSE PRICE (Lag 9),CLOSE PRICE (Lag 10),CLOSE PRICE (Lag 11),CLOSE PRICE (Lag 12),CLOSE PRICE (Lag 13),CLOSE PRICE (Lag 14),CLOSE PRICE (Lag 15),CLOSE PRICE (Lag 16),CLOSE PRICE (Lag 17),CLOSE PRICE (Lag 18),CLOSE PRICE (Lag 19),CLOSE PRICE (Lag 20),CLOSE PRICE (Lag 21),CLOSE PRICE (Lag 22),CLOSE PRICE (Lag 23),CLOSE PRICE (Lag 24),CLOSE PRICE (Lag 25),CLOSE PRICE (Lag 26),CLOSE PRICE (Lag 27),CLOSE PRICE (Lag 28),CLOSE PRICE (Lag 29),CLOSE PRICE (Lag 30),MA_7,MA_14,MA_30,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
KZOO,N,0,SHAW WALLACE,2021-08-16,9.2,16,8,2021,81.57894736842107,0.5419997535241361,0.3033192407982436,0.23868051272589252,7.38,9.095072501152801,5.664927498847199,-4288.0,0.7642857142857142,0.7642857142857142,9.2,9.0,8.3,8.1,6.9,7.0,6.8,7.1,7.1,7.2,7.2,7.3,6.7,6.7,6.7,6.7,6.9,6.7,6.9,6.9,6.8,6.8,6.6,6.6,6.5,6.6,6.6,6.7,6.7,6.6,7.8999999999999995,7.471428571428571,7.063333333333332,,,,
KZOO,N,0,SHAW WALLACE,2021-08-17,9.2,17,8,2021,72.09302325581396,0.5485551836466236,0.3523664293679196,0.19618875427870397,7.464999999999999,9.247104019647029,5.682895980352969,260.0,0.8142857142857142,0.8142857142857142,9.1,9.2,9.0,8.3,8.1,6.9,7.0,6.8,7.1,7.1,7.2,7.2,7.3,6.7,6.7,6.7,6.7,6.9,6.7,6.9,6.9,6.8,6.8,6.6,6.6,6.5,6.6,6.6,6.7,6.7,8.228571428571428,7.6428571428571415,7.146666666666665,,,,
KZOO,N,0,SHAW WALLACE,2021-08-18,8.6,18,8,2021,68.42105263157895,0.5554170712508917,0.392976557744514,0.16244051350637767,7.565,9.390290171596373,5.739709828403628,183.0,0.8285714285714284,0.8285714285714284,8.6,9.1,9.2,9.0,8.3,8.1,6.9,7.0,6.8,7.1,7.1,7.2,7.2,7.3,6.7,6.7,6.7,6.7,6.9,6.7,6.9,6.9,6.8,6.8,6.6,6.6,6.5,6.6,6.6,6.7,8.457142857142857,7.778571428571427,7.209999999999998,,,,
KZOO,N,0,SHAW WALLACE,2021-08-19,8.9,19,8,2021,71.05263157894737,0.562440862721461,0.4268694187399035,0.13557144398155752,7.659999999999999,9.536615093866164,5.7833849061338345,-571.0,0.9428571428571428,0.9428571428571428,8.7,8.6,9.1,9.2,9.0,8.3,8.1,6.9,7.0,6.8,7.1,7.1,7.2,7.2,7.3,6.7,6.7,6.7,6.7,6.9,6.7,6.9,6.9,6.8,6.8,6.6,6.6,6.5,6.6,6.6,8.714285714285714,7.878571428571427,7.276666666666666,,,,
KZOO,N,0,SHAW WALLACE,2021-08-20,8.5,20,8,2021,58.69565217391305,0.497716586948016,0.441038852381526,0.05667773456649,7.725,9.55098207173997,5.89901792826003,419.0,0.9857142857142857,0.9857142857142857,8.8,8.7,8.6,9.1,9.2,9.0,8.3,8.1,6.9,7.0,6.8,7.1,7.1,7.2,7.2,7.3,6.7,6.7,6.7,6.7,6.9,6.7,6.9,6.9,6.8,6.8,6.6,6.6,6.5,6.6,8.814285714285715,7.992857142857142,7.349999999999999,,,,
KZOO,N,0,SHAW WALLACE,2021-08-23,7.9,23,8,2021,55.10204081632653,0.40942586847083895,0.43471625559938865,-0.025290387128549696,7.769999999999999,9.532892360209269,6.007107639790728,-319.0,1.007142857142857,1.007142857142857,8.0,8.8,8.7,8.6,9.1,9.2,9.0,8.3,8.1,6.9,7.0,6.8,7.1,7.1,7.2,7.2,7.3,6.7,6.7,6.7,6.7,6.9,6.7,6.9,6.9,6.8,6.8,6.6,6.6,6.5,8.771428571428572,8.049999999999999,7.3966666666666665,,,,
KZOO,N,0,SHAW WALLACE,2021-08-24,7.7,24,8,2021,58.49056603773585,0.3674952386842083,0.4212720522163526,-0.05377681353214431,7.834999999999999,9.526184573947472,6.143815426052526,247.0,1.0571428571428572,1.0571428571428572,7.6,8.0,8.8,8.7,8.6,9.1,9.2,9.0,8.3,8.1,6.9,7.0,6.8,7.1,7.1,7.2,7.2,7.3,6.7,6.7,6.7,6.7,6.9,6.7,6.9,6.9,6.8,6.8,6.6,6.6,8.571428571428571,8.085714285714285,7.433333333333334,,,,
KZOO,N,0,SHAW WALLACE,2021-08-25,8.0,25,8,2021,62.0,0.33045562573247,0.40310876691957614,-0.07265314118710614,7.9,9.505254529743855,6.294745470256147,-418.0,1.0785714285714285,1.0785714285714285,8.0,7.6,8.0,8.8,8.7,8.6,9.1,9.2,9.0,8.3,8.1,6.9,7.0,6.8,7.1,7.1,7.2,7.2,7.3,6.7,6.7,6.7,6.7,6.9,6.7,6.9,6.9,6.8,6.8,6.6,8.400000000000002,8.15,7.48,,,,
KZOO,N,0,SHAW WALLACE,2021-08-26,8.2,26,8,2021,60.416666666666664,0.29767010987874265,0.3820210355114095,-0.08435092563266683,7.935,9.515506248010428,6.354493751989571,-37.0,1.0857142857142856,1.0857142857142856,8.0,8.0,7.6,8.0,8.8,8.7,8.6,9.1,9.2,9.0,8.3,8.1,6.9,7.0,6.8,7.1,7.1,7.2,7.2,7.3,6.7,6.7,6.7,6.7,6.9,6.7,6.9,6.9,6.8,6.8,8.242857142857144,8.235714285714286,7.526666666666668,,,,
KZOO,N,0,SHAW WALLACE,2021-08-27,7.9,27,8,2021,59.18367346938774,0.25263678423974145,0.3561441852570759,-0.10350740101733447,7.965000000000001,9.509122983921193,6.4208770160788085,18.0,1.0928571428571427,1.0928571428571427,8.0,8.0,8.0,7.6,8.0,8.8,8.7,8.6,9.1,9.2,9.0,8.3,8.1,6.9,7.0,6.8,7.1,7.1,7.2,7.2,7.3,6.7,6.7,6.7,6.7,6.9,6.7,6.9,6.9,6.8,8.157142857142858,8.307142857142855,7.566666666666667,,,,
